step,timestamp,temperature,humidity,co2,light_intensity,plant_height
38,2026-05-02 14:00:00,27.87,56.73,670.04,687.25,7.675
39,2026-05-02 15:00:00,27.81,57.4,693.43,503.93,7.756
40,2026-05-02 16:00:00,27.12,58.46,727.13,299.49,7.836
41,2026-05-02 17:00:00,26.31,60.53,762.11,112.4,7.908
42,2026-05-02 18:00:00,24.99,63.39,799.35,0.56,7.963
43,2026-05-02 19:00:00,23.52,66.4,848.72,0.22,8.02
44,2026-05-02 20:00:00,22.12,70.02,849.88,0.36,8.077
45,2026-05-02 21:00:00,20.55,73.45,849.59,1.38,8.133
46,2026-05-02 22:00:00,19.03,76.83,850.18,0.0,8.19
47,2026-05-02 23:00:00,17.65,79.58,851.72,0.0,8.244
48,2026-05-03 00:00:00,16.78,81.65,848.89,0.0,8.288
49,2026-05-03 01:00:00,16.25,82.69,849.99,0.0,8.326
50,2026-05-03 02:00:00,16.03,83.41,850.09,0.8,8.362
51,2026-05-03 03:00:00,16.05,82.74,849.16,0.0,8.398
52,2026-05-03 04:00:00,16.74,81.38,850.92,0.0,8.443
53,2026-05-03 05:00:00,17.76,79.26,849.67,1.25,8.498
54,2026-05-03 06:00:00,19.04,76.8,799.85,0.0,8.553
55,2026-05-03 07:00:00,20.43,73.45,761.35,110.57,8.626
56,2026-05-03 08:00:00,22.01,70.03,727.52,302.87,8.717
57,2026-05-03 09:00:00,23.49,66.54,692.47,504.67,8.815
58,2026-05-03 10:00:00,25.02,63.58,669.37,684.22,8.918
59,2026-05-03 11:00:00,26.08,60.64,654.05,806.27,9.022
60,2026-05-03 12:00:00,27.13,58.55,648.24,848.17,9.115
61,2026-05-03 13:00:00,27.96,57.06,654.01,809.22,9.198
62,2026-05-03 14:00:00,28.22,56.62,669.73,685.47,9.277
63,2026-05-03 15:00:00,27.93,57.1,693.69,506.38,9.356
64,2026-05-03 16:00:00,27.23,58.51,724.87,298.8,9.434
65,2026-05-03 17:00:00,26.22,60.63,761.41,111.23,9.506
66,2026-05-03 18:00:00,25.04,63.55,800.16,0.44,9.561
67,2026-05-03 19:00:00,23.56,66.58,849.28,0.4,9.617
68,2026-05-03 20:00:00,21.99,70.31,851.57,0.48,9.673
69,2026-05-03 21:00:00,20.39,73.25,851.19,0.33,9.73
70,2026-05-03 22:00:00,19.04,76.34,850.93,0.57,9.786
71,2026-05-03 23:00:00,17.67,79.26,850.26,0.07,9.84
72,2026-05-04 00:00:00,16.78,81.42,849.75,0.19,9.884
73,2026-05-04 01:00:00,16.31,82.37,849.76,0.22,9.923
74,2026-05-04 02:00:00,16.02,83.14,848.24,0.41,9.958
75,2026-05-04 03:00:00,16.33,82.52,850.86,0.0,9.997
76,2026-05-04 04:00:00,16.8,81.27,849.67,1.63,10.042
77,2026-05-04 05:00:00,17.8,79.59,851.18,0.55,10.096
78,2026-05-04 06:00:00,19.13,76.67,800.83,0.0,10.151
79,2026-05-04 07:00:00,20.45,73.31,762.17,110.45,10.224
80,2026-05-04 08:00:00,22.06,69.97,726.17,301.46,10.313
81,2026-05-04 09:00:00,23.69,66.69,692.36,505.33,10.411
82,2026-05-04 10:00:00,24.91,63.32,671.61,685.84,10.513
83,2026-05-04 11:00:00,26.19,60.51,655.14,805.41,10.616
84,2026-05-04 12:00:00,27.15,58.62,651.16,850.76,10.708
85,2026-05-04 13:00:00,27.62,57.3,655.18,807.45,10.794
86,2026-05-04 14:00:00,28.12,56.49,669.51,685.78,10.873
87,2026-05-04 15:00:00,27.68,57.47,694.3,506.47,10.953
88,2026-05-04 16:00:00,27.15,58.69,726.07,300.81,11.032
89,2026-05-04 17:00:00,26.26,60.71,760.31,111.74,11.103
90,2026-05-04 18:00:00,24.99,63.46,801.0,0.0,11.157
91,2026-05-04 19:00:00,23.54,66.81,849.26,0.0,11.213
92,2026-05-04 20:00:00,22.02,70.13,850.01,1.66,11.269
93,2026-05-04 21:00:00,20.51,73.54,850.55,2.91,11.325
94,2026-05-04 22:00:00,18.98,76.3,851.6,0.0,11.381
95,2026-05-04 23:00:00,17.77,79.53,848.4,0.0,11.435
96,2026-05-05 00:00:00,16.68,81.31,850.44,0.66,11.478
97,2026-05-05 01:00:00,16.23,82.54,847.69,0.07,11.516
98,2026-05-05 02:00:00,15.96,83.27,850.7,0.17,11.55
99,2026-05-05 03:00:00,16.26,82.78,850.53,0.0,11.588
100,2026-05-05 04:00:00,16.79,81.46,850.82,0.0,11.631
101,2026-05-05 05:00:00,17.8,79.29,849.88,1.04,11.686
102,2026-05-05 06:00:00,18.85,76.41,798.52,0.0,11.74
103,2026-05-05 07:00:00,20.4,73.53,760.89,112.17,11.813
104,2026-05-05 08:00:00,22.08,70.2,724.93,302.21,11.901
105,2026-05-05 09:00:00,23.56,66.46,693.34,503.56,11.998
106,2026-05-05 10:00:00,24.93,63.35,670.9,687.19,12.099
107,2026-05-05 11:00:00,26.14,60.73,654.07,807.52,12.201
108,2026-05-05 12:00:00,27.19,58.29,650.93,849.24,12.292
109,2026-05-05 13:00:00,27.76,57.09,654.46,807.46,12.375
110,2026-05-05 14:00:00,27.99,56.85,670.46,686.69,12.455
111,2026-05-05 15:00:00,27.77,57.03,695.0,505.0,12.534
112,2026-05-05 16:00:00,27.28,58.63,724.87,300.96,12.61
113,2026-05-05 17:00:00,26.39,60.98,761.25,112.12,12.68
114,2026-05-05 18:00:00,25.08,63.27,800.33,0.0,12.734
115,2026-05-05 19:00:00,23.58,66.46,848.41,0.0,12.789
116,2026-05-05 20:00:00,21.92,69.93,849.71,2.42,12.845
117,2026-05-05 21:00:00,20.53,73.27,850.35,0.0,12.9
118,2026-05-05 22:00:00,18.98,76.63,850.62,0.0,12.955
119,2026-05-05 23:00:00,17.84,79.16,850.01,3.25,13.01
120,2026-05-06 00:00:00,16.82,81.65,850.09,0.73,13.053
121,2026-05-06 01:00:00,16.2,82.72,849.22,0.54,13.09
122,2026-05-06 02:00:00,15.94,83.3,851.09,0.46,13.124
123,2026-05-06 03:00:00,16.18,82.82,849.69,1.17,13.161
124,2026-05-06 04:00:00,16.67,81.38,848.01,0.0,13.204
125,2026-05-06 05:00:00,17.86,79.47,849.28,0.0,13.258
126,2026-05-06 06:00:00,18.78,76.52,802.42,0.54,13.312
127,2026-05-06 07:00:00,20.41,73.49,759.62,111.55,13.384
128,2026-05-06 08:00:00,22.01,69.99,725.79,300.95,13.471
129,2026-05-06 09:00:00,23.6,66.48,694.83,507.45,13.568
130,2026-05-06 10:00:00,24.93,63.27,671.43,684.8,13.668
131,2026-05-06 11:00:00,26.35,60.6,656.57,807.09,13.767
132,2026-05-06 12:00:00,27.22,58.8,649.64,848.82,13.858
133,2026-05-06 13:00:00,27.76,57.32,653.55,807.72,13.941
134,2026-05-06 14:00:00,27.96,56.97,667.7,684.06,14.02
135,2026-05-06 15:00:00,27.67,57.13,694.18,505.19,14.099
136,2026-05-06 16:00:00,27.18,58.54,725.2,299.26,14.176
137,2026-05-06 17:00:00,26.3,60.77,761.56,112.62,14.246
138,2026-05-06 18:00:00,25.02,63.71,799.91,0.0,14.299
139,2026-05-06 19:00:00,23.5,66.43,848.76,0.0,14.354
140,2026-05-06 20:00:00,21.99,70.05,850.05,0.0,14.408
141,2026-05-06 21:00:00,20.51,73.53,849.84,0.0,14.463
142,2026-05-06 22:00:00,19.04,76.63,848.55,0.0,14.518
143,2026-05-06 23:00:00,17.78,79.2,850.19,0.0,14.571
144,2026-05-07 00:00:00,16.9,81.62,849.75,0.45,14.614
145,2026-05-07 01:00:00,16.02,82.58,849.71,0.0,14.65
146,2026-05-07 02:00:00,16.05,83.5,848.82,0.0,14.684
147,2026-05-07 03:00:00,16.22,82.99,848.78,0.31,14.72
148,2026-05-07 04:00:00,16.94,81.18,848.72,0.0,14.765
149,2026-05-07 05:00:00,17.72,79.46,850.24,0.0,14.817
150,2026-05-07 06:00:00,19.04,76.51,801.27,0.0,14.871
151,2026-05-07 07:00:00,20.4,73.5,761.94,112.48,14.942
152,2026-05-07 08:00:00,21.87,70.08,723.97,300.81,15.029
153,2026-05-07 09:00:00,23.45,66.65,693.13,503.81,15.124
154,2026-05-07 10:00:00,25.05,63.44,669.48,686.85,15.224
155,2026-05-07 11:00:00,26.21,60.67,655.38,806.15,15.323
156,2026-05-07 12:00:00,27.23,58.49,649.59,851.7,15.413
157,2026-05-07 13:00:00,27.72,56.89,656.72,810.11,15.495
158,2026-05-07 14:00:00,27.97,56.51,669.79,684.68,15.573
159,2026-05-07 15:00:00,27.78,57.08,694.51,506.07,15.65
160,2026-05-07 16:00:00,27.08,58.67,727.05,300.74,15.727
161,2026-05-07 17:00:00,26.22,60.64,761.79,109.76,15.797
162,2026-05-07 18:00:00,25.01,63.34,801.85,0.0,15.85
163,2026-05-07 19:00:00,23.68,66.42,850.59,0.4,15.904
164,2026-05-07 20:00:00,21.93,70.03,851.21,0.0,15.958
165,2026-05-07 21:00:00,20.32,73.41,849.1,0.0,16.013
166,2026-05-07 22:00:00,18.99,76.34,848.38,0.6,16.067
167,2026-05-07 23:00:00,17.72,78.95,850.78,0.34,16.119
168,2026-05-08 00:00:00,16.75,81.23,850.84,0.44,16.162
169,2026-05-08 01:00:00,16.38,82.81,850.39,0.0,16.199
170,2026-05-08 02:00:00,16.06,83.29,851.25,0.0,16.234
171,2026-05-08 03:00:00,16.17,82.68,850.79,1.87,16.27
172,2026-05-08 04:00:00,16.77,81.37,850.31,0.0,16.313
173,2026-05-08 05:00:00,17.83,79.0,849.17,0.0,16.366
174,2026-05-08 06:00:00,18.83,76.46,799.08,0.0,16.419
175,2026-05-08 07:00:00,20.53,73.38,760.15,111.85,16.489
176,2026-05-08 08:00:00,22.08,69.85,724.09,301.22,16.576
177,2026-05-08 09:00:00,23.54,66.68,693.92,506.29,16.67
178,2026-05-08 10:00:00,24.92,63.4,669.89,683.52,16.769
179,2026-05-08 11:00:00,26.13,60.77,654.76,805.65,16.868
180,2026-05-08 12:00:00,27.19,58.74,647.72,848.13,16.957
181,2026-05-08 13:00:00,27.73,57.47,655.39,807.89,17.039
182,2026-05-08 14:00:00,27.91,56.63,670.54,685.11,17.118
183,2026-05-08 15:00:00,27.84,57.22,694.21,505.61,17.194
184,2026-05-08 16:00:00,27.25,58.69,723.38,297.71,17.269
185,2026-05-08 17:00:00,26.32,60.84,760.16,109.6,17.337
186,2026-05-08 18:00:00,25.01,63.54,801.8,0.65,17.39
187,2026-05-08 19:00:00,23.53,66.45,850.01,0.0,17.443
188,2026-05-08 20:00:00,21.92,70.31,851.79,1.42,17.498
189,2026-05-08 21:00:00,20.38,73.54,850.64,0.55,17.552
190,2026-05-08 22:00:00,19.09,76.7,850.74,0.8,17.605
191,2026-05-08 23:00:00,17.78,79.07,850.08,0.0,17.658
192,2026-05-09 00:00:00,16.71,81.68,851.73,1.7,17.699
193,2026-05-09 01:00:00,16.22,82.95,850.01,0.25,17.735
194,2026-05-09 02:00:00,15.92,83.26,850.06,0.0,17.768
195,2026-05-09 03:00:00,16.2,82.74,851.8,1.12,17.804
196,2026-05-09 04:00:00,16.8,81.47,850.04,0.0,17.847
197,2026-05-09 05:00:00,17.68,79.31,849.25,0.0,17.898
198,2026-05-09 06:00:00,19.04,76.66,798.21,0.0,17.95
199,2026-05-09 07:00:00,20.52,73.58,762.2,111.97,18.021
200,2026-05-09 08:00:00,21.94,69.84,725.34,300.99,18.106
201,2026-05-09 09:00:00,23.65,66.75,693.8,503.86,18.2
202,2026-05-09 10:00:00,24.98,63.43,669.89,684.32,18.298
203,2026-05-09 11:00:00,26.26,60.59,654.48,807.32,18.395
204,2026-05-09 12:00:00,27.17,58.61,650.27,848.58,18.483
205,2026-05-09 13:00:00,27.76,57.47,653.95,804.28,18.565
206,2026-05-09 14:00:00,27.86,56.8,670.13,684.89,18.643
207,2026-05-09 15:00:00,27.89,56.85,694.33,507.36,18.718
208,2026-05-09 16:00:00,27.11,58.51,724.25,299.4,18.793
209,2026-05-09 17:00:00,26.22,60.88,763.01,111.5,18.861
210,2026-05-09 18:00:00,25.14,63.41,801.75,0.0,18.914
211,2026-05-09 19:00:00,23.56,66.64,853.18,1.06,18.967
212,2026-05-09 20:00:00,21.95,70.15,849.64,0.0,19.021
213,2026-05-09 21:00:00,20.52,73.42,850.28,0.02,19.074
214,2026-05-09 22:00:00,19.03,76.66,848.06,0.83,19.127
215,2026-05-09 23:00:00,17.68,79.12,849.94,0.1,19.179
216,2026-05-10 00:00:00,16.75,81.56,848.66,0.0,19.22
217,2026-05-10 01:00:00,16.16,82.74,850.28,0.0,19.255
218,2026-05-10 02:00:00,16.05,83.21,848.11,0.0,19.289
219,2026-05-10 03:00:00,16.2,82.72,849.9,0.0,19.325
220,2026-05-10 04:00:00,16.82,81.57,848.89,0.0,19.367
221,2026-05-10 05:00:00,17.68,79.38,851.24,0.0,19.418
222,2026-05-10 06:00:00,18.81,76.34,799.17,0.0,19.47
223,2026-05-10 07:00:00,20.42,73.42,760.87,113.23,19.539
224,2026-05-10 08:00:00,21.95,69.87,725.48,298.6,19.624
225,2026-05-10 09:00:00,23.58,66.6,693.79,507.4,19.717
226,2026-05-10 10:00:00,24.95,63.71,669.87,683.44,19.814
227,2026-05-10 11:00:00,26.25,60.5,654.36,807.42,19.911
228,2026-05-10 12:00:00,27.24,58.48,650.99,851.45,19.998
229,2026-05-10 13:00:00,27.9,57.33,656.47,804.58,20.077
230,2026-05-10 14:00:00,27.98,56.67,670.22,684.32,20.153
231,2026-05-10 15:00:00,27.78,57.53,693.76,505.93,20.229
232,2026-05-10 16:00:00,27.18,58.58,725.01,301.08,20.304
233,2026-05-10 17:00:00,26.33,60.91,761.49,112.66,20.371
234,2026-05-10 18:00:00,24.91,63.39,800.94,1.08,20.423
235,2026-05-10 19:00:00,23.57,66.72,850.49,1.5,20.476
236,2026-05-10 20:00:00,22.02,69.95,850.34,0.0,20.529
237,2026-05-10 21:00:00,20.48,72.87,848.28,0.56,20.582
238,2026-05-10 22:00:00,19.04,76.43,849.29,1.71,20.635
239,2026-05-10 23:00:00,17.72,79.67,850.0,0.51,20.686
240,2026-05-11 00:00:00,16.93,81.45,849.0,0.0,20.729
241,2026-05-11 01:00:00,16.2,82.55,849.74,0.0,20.764
242,2026-05-11 02:00:00,16.07,83.21,849.72,0.0,20.798
243,2026-05-11 03:00:00,16.22,82.84,849.0,0.0,20.833
244,2026-05-11 04:00:00,16.89,81.37,848.58,0.55,20.876
245,2026-05-11 05:00:00,17.79,79.1,850.23,0.92,20.927
246,2026-05-11 06:00:00,19.03,76.69,798.6,0.41,20.979
247,2026-05-11 07:00:00,20.42,73.34,762.05,113.77,21.048
248,2026-05-11 08:00:00,22.13,70.2,724.89,300.96,21.132
249,2026-05-11 09:00:00,23.61,66.6,694.06,506.44,21.224
250,2026-05-11 10:00:00,25.0,63.29,669.68,685.83,21.321
251,2026-05-11 11:00:00,26.24,60.72,655.78,806.46,21.417
252,2026-05-11 12:00:00,27.25,58.63,648.77,851.8,21.503
253,2026-05-11 13:00:00,27.76,57.0,654.07,805.65,21.582
254,2026-05-11 14:00:00,28.0,56.76,669.76,685.81,21.658
255,2026-05-11 15:00:00,27.82,57.3,694.34,506.18,21.732
256,2026-05-11 16:00:00,27.04,58.51,722.82,300.57,21.807
257,2026-05-11 17:00:00,26.24,60.82,762.36,112.17,21.874
258,2026-05-11 18:00:00,24.96,63.47,799.47,0.0,21.926
259,2026-05-11 19:00:00,23.63,66.5,850.81,0.85,21.978
260,2026-05-11 20:00:00,21.93,70.15,850.7,0.13,22.031
261,2026-05-11 21:00:00,20.39,73.29,849.46,0.68,22.083
262,2026-05-11 22:00:00,18.93,76.67,848.76,0.0,22.136
263,2026-05-11 23:00:00,17.77,79.7,848.62,1.84,22.187
264,2026-05-12 00:00:00,16.82,81.49,850.12,0.56,22.228
265,2026-05-12 01:00:00,16.19,82.97,849.54,1.42,22.263
266,2026-05-12 02:00:00,15.95,83.19,848.93,0.57,22.296
267,2026-05-12 03:00:00,16.31,82.74,849.8,0.0,22.332
268,2026-05-12 04:00:00,16.79,81.19,849.09,0.28,22.373
269,2026-05-12 05:00:00,17.86,79.76,849.41,1.79,22.425
270,2026-05-12 06:00:00,19.02,76.58,800.43,0.08,22.476
271,2026-05-12 07:00:00,20.46,73.36,759.78,109.99,22.544
272,2026-05-12 08:00:00,22.05,69.96,724.4,300.53,22.628
273,2026-05-12 09:00:00,23.61,66.61,693.28,506.95,22.719
274,2026-05-12 10:00:00,25.12,63.47,671.07,686.59,22.815
275,2026-05-12 11:00:00,26.33,60.76,655.71,807.58,22.909
276,2026-05-12 12:00:00,27.11,58.67,648.64,849.01,22.996
277,2026-05-12 13:00:00,27.89,57.38,656.6,806.59,23.074
278,2026-05-12 14:00:00,27.91,56.76,670.2,685.14,23.15
279,2026-05-12 15:00:00,27.88,57.2,694.29,504.18,23.223
280,2026-05-12 16:00:00,27.23,58.57,724.25,300.23,23.296
281,2026-05-12 17:00:00,26.23,60.63,762.95,111.8,23.363
282,2026-05-12 18:00:00,24.98,63.09,799.11,0.0,23.413
283,2026-05-12 19:00:00,23.5,66.79,849.84,1.61,23.466
284,2026-05-12 20:00:00,22.0,70.01,849.91,0.0,23.518
285,2026-05-12 21:00:00,20.58,73.07,848.0,0.0,23.57
286,2026-05-12 22:00:00,19.0,76.7,850.47,0.0,23.622
287,2026-05-12 23:00:00,17.83,79.49,850.18,1.2,23.673
288,2026-05-13 00:00:00,16.82,81.35,850.7,0.14,23.714
289,2026-05-13 01:00:00,16.2,82.97,847.55,0.0,23.748
290,2026-05-13 02:00:00,15.91,83.15,849.75,0.0,23.781
291,2026-05-13 03:00:00,16.13,82.62,852.46,2.25,23.816
292,2026-05-13 04:00:00,16.77,81.38,848.85,0.0,23.857
293,2026-05-13 05:00:00,17.75,79.18,849.92,0.0,23.907
294,2026-05-13 06:00:00,18.94,76.62,800.37,0.52,23.958
295,2026-05-13 07:00:00,20.35,73.54,760.38,112.71,24.026
296,2026-05-13 08:00:00,22.0,69.79,724.68,300.98,24.108
297,2026-05-13 09:00:00,23.6,66.56,695.47,506.67,24.199
298,2026-05-13 10:00:00,24.98,63.51,672.03,687.49,24.294
299,2026-05-13 11:00:00,26.15,60.53,656.6,805.6,24.389
300,2026-05-13 12:00:00,27.1,58.5,650.42,849.87,24.475
301,2026-05-13 13:00:00,27.75,57.15,654.4,805.83,24.553
302,2026-05-13 14:00:00,28.17,56.84,670.98,684.43,24.626
303,2026-05-13 15:00:00,27.78,57.14,691.28,503.69,24.7
304,2026-05-13 16:00:00,27.06,58.23,723.8,302.18,24.772
305,2026-05-13 17:00:00,26.24,60.86,761.59,112.9,24.839
306,2026-05-13 18:00:00,24.93,63.48,800.73,0.0,24.889
307,2026-05-13 19:00:00,23.59,66.67,849.45,0.0,24.941
308,2026-05-13 20:00:00,21.91,70.01,850.33,0.0,24.992
309,2026-05-13 21:00:00,20.45,73.5,850.62,1.94,25.044
310,2026-05-13 22:00:00,19.1,76.45,851.68,0.0,25.096
311,2026-05-13 23:00:00,17.84,79.34,849.59,0.0,25.146
312,2026-05-14 00:00:00,16.79,81.2,850.97,1.9,25.188
313,2026-05-14 01:00:00,16.14,82.8,849.27,0.0,25.222
314,2026-05-14 02:00:00,16.06,83.19,851.74,0.0,25.255
315,2026-05-14 03:00:00,16.28,82.76,850.8,0.0,25.289
316,2026-05-14 04:00:00,16.8,81.41,849.16,0.83,25.33
317,2026-05-14 05:00:00,17.81,79.42,851.54,1.81,25.381
318,2026-05-14 06:00:00,18.97,76.66,799.38,0.03,25.431
319,2026-05-14 07:00:00,20.4,73.66,761.54,111.65,25.498
320,2026-05-14 08:00:00,22.09,69.67,722.99,301.52,25.58
321,2026-05-14 09:00:00,23.56,66.62,692.61,505.38,25.67
322,2026-05-14 10:00:00,25.15,63.52,670.27,684.49,25.764
323,2026-05-14 11:00:00,26.21,60.35,655.37,807.98,25.858
324,2026-05-14 12:00:00,27.08,58.47,648.84,848.79,25.943
325,2026-05-14 13:00:00,27.8,56.94,655.73,807.87,26.02
326,2026-05-14 14:00:00,27.98,56.43,669.1,686.58,26.094
327,2026-05-14 15:00:00,27.59,57.2,692.75,506.42,26.168
328,2026-05-14 16:00:00,27.15,58.63,725.57,302.82,26.24
329,2026-05-14 17:00:00,26.23,60.72,759.69,113.41,26.306
330,2026-05-14 18:00:00,24.94,63.32,799.98,0.0,26.356
331,2026-05-14 19:00:00,23.57,66.73,850.29,0.0,26.407
332,2026-05-14 20:00:00,21.99,70.11,848.12,0.0,26.458
333,2026-05-14 21:00:00,20.51,73.46,850.41,2.32,26.51
334,2026-05-14 22:00:00,19.04,76.7,852.71,0.0,26.561
335,2026-05-14 23:00:00,17.7,79.4,850.44,0.0,26.61
336,2026-05-15 00:00:00,16.73,81.78,850.33,0.0,26.649
337,2026-05-15 01:00:00,16.27,82.73,849.75,0.7,26.684
338,2026-05-15 02:00:00,15.9,83.25,851.91,0.58,26.716
339,2026-05-15 03:00:00,16.18,82.67,849.59,0.0,26.75
340,2026-05-15 04:00:00,16.78,81.57,848.27,1.08,26.79
341,2026-05-15 05:00:00,17.73,79.39,848.87,1.66,26.839
342,2026-05-15 06:00:00,19.09,76.74,798.49,1.04,26.889
343,2026-05-15 07:00:00,20.48,73.18,761.15,112.38,26.956
344,2026-05-15 08:00:00,22.04,70.03,725.29,302.36,27.038
345,2026-05-15 09:00:00,23.64,66.15,693.62,505.21,27.127
346,2026-05-15 10:00:00,24.87,63.41,671.34,683.68,27.22
347,2026-05-15 11:00:00,26.27,60.53,654.44,808.77,27.312
348,2026-05-15 12:00:00,27.16,58.64,648.13,852.33,27.396
349,2026-05-15 13:00:00,27.84,57.22,655.69,805.17,27.473
350,2026-05-15 14:00:00,28.09,56.75,669.89,684.42,27.545
351,2026-05-15 15:00:00,27.75,57.35,694.19,506.23,27.618
352,2026-05-15 16:00:00,27.2,58.65,724.58,303.31,27.689
353,2026-05-15 17:00:00,26.13,60.86,762.55,110.86,27.755
354,2026-05-15 18:00:00,25.17,63.55,800.97,0.04,27.805
355,2026-05-15 19:00:00,23.54,66.55,850.39,1.75,27.856
356,2026-05-15 20:00:00,22.01,69.86,850.82,1.15,27.907
357,2026-05-15 21:00:00,20.5,73.53,849.73,0.0,27.957
358,2026-05-15 22:00:00,18.93,76.35,850.24,0.0,28.008
359,2026-05-15 23:00:00,17.72,78.89,848.75,1.4,28.057
360,2026-05-16 00:00:00,16.75,81.49,848.61,1.8,28.097
361,2026-05-16 01:00:00,16.19,82.79,852.33,1.9,28.131
362,2026-05-16 02:00:00,15.98,83.11,849.67,0.64,28.163
363,2026-05-16 03:00:00,16.2,82.69,851.47,0.0,28.197
364,2026-05-16 04:00:00,16.98,81.45,851.79,0.45,28.238
365,2026-05-16 05:00:00,17.83,79.23,849.15,0.57,28.288
366,2026-05-16 06:00:00,19.07,76.61,798.71,0.0,28.337
367,2026-05-16 07:00:00,20.34,73.15,761.29,113.33,28.403
368,2026-05-16 08:00:00,22.0,69.66,724.81,300.32,28.484
369,2026-05-16 09:00:00,23.71,66.37,693.54,507.55,28.573
370,2026-05-16 10:00:00,25.03,63.48,670.21,685.45,28.665
371,2026-05-16 11:00:00,26.3,60.54,655.99,805.21,28.756
372,2026-05-16 12:00:00,27.22,58.6,649.38,849.97,28.839
373,2026-05-16 13:00:00,27.75,57.09,654.76,805.55,28.916
374,2026-05-16 14:00:00,28.02,56.63,670.81,683.56,28.988
375,2026-05-16 15:00:00,27.75,57.16,695.26,505.83,29.06
376,2026-05-16 16:00:00,27.18,58.64,722.89,300.47,29.13
377,2026-05-16 17:00:00,26.39,60.69,761.25,112.61,29.194
378,2026-05-16 18:00:00,25.07,63.1,798.32,0.26,29.243
379,2026-05-16 19:00:00,23.5,66.78,849.68,0.0,29.294
380,2026-05-16 20:00:00,21.9,69.59,849.77,0.0,29.344
381,2026-05-16 21:00:00,20.42,73.58,851.2,0.0,29.394
382,2026-05-16 22:00:00,18.84,76.69,850.56,0.39,29.445
383,2026-05-16 23:00:00,17.83,79.16,852.01,0.0,29.494
384,2026-05-17 00:00:00,16.86,81.18,849.07,1.9,29.535
385,2026-05-17 01:00:00,16.18,82.88,850.24,0.0,29.568
386,2026-05-17 02:00:00,16.1,83.16,848.22,0.0,29.6
387,2026-05-17 03:00:00,16.25,82.81,848.43,0.0,29.634
388,2026-05-17 04:00:00,16.76,81.38,848.62,0.0,29.673
389,2026-05-17 05:00:00,17.7,79.45,850.81,0.0,29.721
390,2026-05-17 06:00:00,18.97,76.62,799.18,0.0,29.77
391,2026-05-17 07:00:00,20.38,73.32,760.01,112.12,29.836
392,2026-05-17 08:00:00,22.05,69.76,725.03,300.25,29.916
393,2026-05-17 09:00:00,23.58,66.58,692.48,503.84,30.004
394,2026-05-17 10:00:00,25.0,63.55,667.88,685.47,30.095
395,2026-05-17 11:00:00,26.33,60.64,655.66,806.05,30.186
396,2026-05-17 12:00:00,27.19,58.33,647.66,851.18,30.267
397,2026-05-17 13:00:00,27.72,57.18,653.72,805.17,30.343
